   6001     2907994.095    13839674.320
   6002     2977751.253    13584079.159
   6003     3131730.886    14085796.857
   6004     2904125.035    13783324.275
   6005     2899672.238    13839958.364
   6008     2901254.636    13752542.847
   6010     2900714.792    13752464.745
   6012     2902814.124    13752788.896
   6014     2903694.274    13752922.945
   6015     2901114.572    13752522.929
   6016     3017663.537    13541755.507
   6017     2904223.234    13781572.045
   6018     3073347.460    14113606.062
   6019     2904264.807    13786786.323
   6020     2904356.088    13778947.759
   6022     3163207.236    14049158.989
   6023     3073419.355    14113610.881
   6027     2904158.320    13782690.501
   6029     2910976.472    13784949.377
   6031     2904121.134    13783408.491
   6033     2904250.258    13780890.356
   6035     2904115.280    13783529.868
   6037     2910452.698    13785107.776
   6038     3198751.857    14067917.876
   6039     2904097.138    13785467.768
   6041     2910279.432    13785160.162
   6043     2907221.579    13839326.837
   6044     2904030.303    13708339.509
   6045     2957000.003    14047339.058
   6046     3414777.055    13952127.256
   6047     3216448.531    14087660.640
   6048     2902740.363    13706873.322
   6049     2969097.377    14019775.984
   6050     2900679.855    13839759.167
   6051     2899033.131    13840106.812
   6052     2898480.923    13840156.328
   6053     3355186.951    14027975.064
   6054     2955783.309    13674074.241
   6055     2924397.904    14023860.793
   6056     3414735.710    13952034.653
   6057     2897930.796    13840328.051
   6058     2898284.124    13840227.891
   6059     2912734.228    13741263.951
   6060     2907947.075    13839568.659
   6061     2902141.029    14022411.506
   6062     2902250.552    14022413.658
   6063     2907191.247    13839557.307
   6064     2904932.907    13839505.532
   6065     2906819.133    13839213.239
   6066     2907228.216    13839242.650
   6067     2902670.748    13706906.129
   6068     2998873.866    13553243.619
   6069     2977831.575    13584002.911
   6070     3026549.096    13532719.030
   6071     3355310.393    14024261.178
   6072     2954519.724    14046762.451
   6073     3216586.392    14087746.104
   6074     2969336.469    13596103.239
   6075     2902532.706    13752744.797
   6076     2898081.161    13840026.269
   6077     2902358.236    13752719.390
   6078     2903442.498    13752885.405
   6079     2902310.909    13752711.618
   6080     2903543.046    13839586.287
   6081     2901682.808    13752602.769
   6082     2902819.727    13706831.522
   6083     2898912.254    13840039.832
   6086     2889375.211    13853087.394
   6098     2971940.252    14093573.872
   6102     2904478.995    13753044.283
   6103     2996944.643    14136910.266
   6105     3029369.303    14117698.752
   6117     2967039.381    14122893.607
   6139     3147133.860    14073627.014
   6153     3296258.669    14113204.719
   6159     3319192.875    14095893.613
   6173     3254173.071    14098218.468
   6174     3140995.789    13533436.723
   6177     2877335.633    13933201.696
   6182     2912400.244    13784516.087
   6184     2909628.837    13785356.933
   6186     2908625.016    13785658.696
   6188     2904143.445    13782997.121
   6190     2904129.113    13783292.333
   6192     2907145.619    13786107.382
   6193     3188209.005    14062447.866
   6194     2906518.585    13786296.327
   6195     2912512.650    13784482.606
   6196     2904245.678    13780996.451
   6204     2904374.551    13787150.498
   6206     2912311.626    13784542.753
   6210     3424596.086    13898785.336
   6213     3075564.035    14115592.514
   6221     3280396.699    14111919.413
   6222     3108158.758    14113997.730
   6224     3018063.761    13542109.740
   6225     3021076.803    13545626.997
   6226     3040985.919    13521578.299
  10014     3240261.831    13861485.021
  10020     3140034.304    13890111.799
  10023     3150637.525    13784391.247
  10026     3173701.940    13847607.946
  10031     3022123.411    13819898.665
  10033     3032714.119    13847981.421
  10036     3155968.794    13810176.023
  10040     3092910.518    13836511.821
  10042     3034535.909    13848079.659
  10045     3167291.345    13824855.261
  10047     3092636.044    13836624.793
  10048     3141187.426    13877942.704
  10050     3047213.885    13931619.222
  10054     3038862.703    13902496.103
  10055     3086628.713    13849290.865
  10056     3088105.248    13849337.236
  10062     2995527.836    13890584.816
  10064     3196349.018    13850370.567
  10066     3077684.046    13904827.282
  10071     3194093.763    13849658.006
  10076     3141116.190    13819248.763
  10083     3137060.516    13897154.386
  10087     3114343.871    13868449.101
  10089     3114339.614    13841855.518
  10092     3153489.953    13835244.086
  10095     3178114.740    13928482.954
  10101     3089984.426    13825041.359
  10102     3104851.953    13830444.035
  10107     3040141.112    13848325.657
  10112     2991209.126    13853357.361
  10113     2998847.042    13921604.019
  10114     3000015.114    13944888.749
  10115     3049149.362    13909652.253
  10130     3107825.611    13811494.573
  10131     3108964.833    13811492.341
  10133     3094490.692    13958492.930
  10148     3048083.275    13848503.283
  10151     3066097.984    13958740.525
  10153     3127115.676    13924195.117
  10154     3129305.880    13857297.216
  10156     3120478.448    13861313.440
  10161     3058658.071    13824480.141
